"","id","record_id","author_1","setting","total","cluster","events","label","quest___1","quest___2","quest___5","rob_1","rob_2","rob_3","rob_4","rob_5","rob_6","risk_of_bias_update_3_complete"
"62",38,1929,"Kutsuna S","Screening",11,NA,3,"Kutsuna S",1,0,0,3,2,2,3,3,3,2
"63",82,4880,"Ferreira VH","Screening",9,NA,5,"Ferreira VH",1,0,0,1,2,3,3,2,3,2
"64",84,4968,"van Buul LW","Screening",16,"1",3,"van Buul LW [Nursing home residents]",1,0,0,3,2,3,2,3,3,2
"65",86,5068,"Varnell C","Screening",10,NA,5,"Varnell C",1,0,0,1,2,3,2,3,2,2
"66",57,2987,"Edelstein M","Screening",20,NA,4,"Edelstein M",1,0,0,1,2,1,1,3,3,2
"67",73,4154,"Wadhwa A","Screening",17,NA,6,"Wadhwa A",1,0,0,3,1,3,1,1,3,2
"68",74,4200,"Balestrini S","Screening",17,NA,11,"Balestrini S",1,0,0,3,3,2,2,3,3,2
"69",80,4674,"Alshahrani MS","Screening",18,NA,12,"Alshahrani MS",1,0,0,3,3,3,1,3,3,2
"70",49,2650,"Stock AD","Screening",19,NA,6,"Stock AD",1,0,0,2,2,2,2,3,3,2
"71",12,598,"Rivett L","Screening",30,NA,5,"Rivett L",1,1,0,1,1,3,3,2,3,2
"72",88,5238,"Pizarro-Sánchez MS","Screening",38,NA,5,"Pizarro-Sánchez MS",1,0,0,1,1,2,2,3,1,2
"73",66,3721,"Letizia AG","Screening",51,NA,46,"Letizia AG",1,0,0,1,2,2,2,3,3,2
"74",22,1155,"Bogani G","Screening",19,NA,10,"Bogani G",1,0,0,3,3,1,3,3,3,2
"75",89,5291,"Tan-Loh J","Screening",46,NA,6,"Tan-Loh J",1,0,0,2,2,3,3,3,1,2
"76",29,1627,"Wi YM","Screening",111,NA,7,"Wi YM",1,0,0,3,3,3,3,3,3,2
"77",62,3622,"Malagón-Rojas J","Screening",35,NA,11,"Malagón-Rojas J",1,0,0,2,2,2,1,3,3,2
"78",14,622,"Treibel TA","Screening",44,NA,12,"Treibel TA",1,0,0,2,2,2,2,1,3,2
"79",81,4866,"Hogan CA","Screening",38,NA,20,"Hogan CA",1,0,0,1,2,3,2,1,3,2
"80",70,4045,"Migisha R","Screening",54,NA,20,"Migisha R",1,0,0,2,2,3,3,2,3,2
"81",10,506,"Wong J","Screening",138,NA,16,"Wong J",1,1,0,3,2,2,2,3,3,2
"82",48,2528,"Marossy A","Screening",67,NA,46,"Marossy A",1,0,0,3,2,2,2,3,3,2
"83",87,5086,"Meyers KJ","Screening",86,NA,67,"Meyers KJ",1,0,0,1,2,3,1,3,3,2
"84",17,729,"London V","Screening",68,NA,22,"London V",1,0,0,3,3,1,2,3,3,2
"85",25,1264,"Lombardi A","Screening",139,NA,17,"Lombardi A",1,0,0,3,3,3,2,3,3,2
"86",60,3359,"Aslam A","Screening",65,NA,38,"Aslam A",1,0,0,3,3,2,3,3,3,2
"87",45,2231,"Chamie G","Screening",81,NA,23,"Chamie G",1,0,0,1,2,2,2,3,1,2
"88",3,294,"Lavezzo E","Screening",73,NA,29,"Lavezzo E",1,1,0,3,2,3,1,3,3,2
"89",54,2907,"Shi SM","Screening",146,NA,21,"Shi SM",1,0,0,1,1,2,3,3,3,2
"90",41,2054,"Eythorsson E","Screening",178,NA,25,"Eythorsson E",1,0,0,3,2,3,3,1,3,2
"91",37,1926,"Smith E","Screening",103,NA,42,"Smith E",1,0,0,3,2,3,2,3,3,2
"92",34,1839,"Cariani L","Screening",182,NA,32,"Cariani L",1,0,0,3,3,2,2,3,3,2
"93",77,4407,"Hcini N","Screening",137,NA,87,"Hcini N",1,0,0,3,3,2,2,3,3,2
"94",19,832,"Andrikopoulou M","Screening",158,NA,46,"Andrikopoulou M",1,1,0,3,3,3,3,3,3,2
"95",64,3674,"Al-Qahtani M","Screening",188,NA,116,"Al-Qahtani M",1,0,0,3,3,1,3,3,3,2
"96",79,4663,"Mahajan NN","Screening",467,NA,58,"Mahajan NN",1,0,0,2,2,1,3,3,1,2
"97",68,3921,"Adhikari EH","Screening",252,NA,98,"Adhikari EH",1,0,0,1,2,2,2,2,3,2
"98",72,4140,"Ghinai I","Screening",406,NA,293,"Ghinai I",1,0,0,3,2,3,1,3,1,2
"99",28,1556,"Almazeedi S","Screening",1096,NA,473,"Almazeedi S",1,0,0,3,2,3,2,3,3,2
"100",59,3299,"White EM","Screening",5403,NA,2194,"White EM",1,0,0,2,3,3,3,2,3,2
